fov,table_position,arrow_1,arrow_2
110,0,14.2,38.3
100,0,11,35.1
90,0,7.85,31.95
80,0,4.3,28.4
70,0,1.05,25.15
60,0,-2.2,21.9
50,0,-5.4,18.7
40,0,-8.7,15.4
30,0,-11.55,12.55
113,1,14.2,38.3
110,1,13.2,37.3
100,1,10,34.1
90,1,6.85,30.95
80,1,3.5,27.6
70,1,0.05,24.15
60,1,-3.2,20.9
50,1,-6.4,17.7
40,1,-9.7,14.4
33,1,-11.7,12.4
116,2,14.2,38.3
110,2,12.2,35.3
100,2,8.8,32.9
90,2,5.6,29.7
80,2,2.25,26.35
70,2,-1.05,23.05
60,2,-4.3,19.8
50,2,-7.45,16.65
40,2,-10.6,13.5
36,2,-11.7,12.4
119,3,14.2,38.3
110,3,11.2,35.3
100,3,7.9,32
90,3,4.6,28.7
80,3,1.3,25.4
70,3,-1.9,22.2
60,3,-5.2,18.9
50,3,-8.4,15.7
40,3,-11.6,12.5
122,4,14.2,38.3
120,4,13.55,37.65
110,4,10.25,34.35
100,4,6.95,31.05
90,4,3.65,27.75
80,4,0.3,24.4
70,4,-2.9,21.2
60,4,-6.2,17.9
50,4,-9.4,14.7
43,4,-11.7,12.4
123,4.45,14.2,38.3
120,4.45,13.05,37.15
110,4.45,9.75,33.85
100,4.45,6.45,30.55
90,4.45,3.15,27.25
80,4.45,-0.15,23.95
70,4.45,-3.45,20.65
60,4.45,-6.65,17.45
50,4.45,-9.85,14.25
43.5,4.45,-11.7,12.4
